    material  density(g/cm3) gamma(keV)  mu_mass(cm2/g)  mu(cm-1)
         Vacuum   1.000E-09     511.000  1.712935E-01  1.712935E-10
      Aluminium   2.700E+00     511.000  8.366694E-02  2.259007E-01
   AluminiumEGS   2.702E+00     511.000  8.366694E-02  2.260680E-01
        Uranium   1.890E+01     511.000  1.907211E-01  3.604628E+00
        Silicon   2.330E+00     511.000  8.666366E-02  2.019263E-01
      Germanium   5.320E+00     511.000  8.117472E-02  4.318495E-01
        Yttrium   4.470E+00     511.000  8.493846E-02  3.796749E-01
     Gadolinium   7.900E+00     511.000  1.111178E-01  8.778304E-01
       Lutetium   9.840E+00     511.000  1.268277E-01  1.247984E+00
       Tungsten   1.930E+01     511.000  1.337996E-01  2.582332E+00
           Lead   1.140E+01     511.000  1.561785E-01  1.780435E+00
        Bismuth   9.750E+00     511.000  1.602163E-01  1.562109E+00
            NaI   3.670E+00     511.000  9.325645E-02  3.422512E-01
            PWO   8.280E+00     511.000  1.373367E-01  1.137148E+00
            BGO   7.130E+00     511.000  1.350333E-01  9.627872E-01
            LSO   7.400E+00     511.000  1.173202E-01  8.681698E-01
     Plexiglass   1.190E+00     511.000  9.324118E-02  1.109570E-01
            GSO   6.700E+00     511.000  1.048313E-01  7.023696E-01
           LuAP   8.340E+00     511.000  1.144237E-01  9.542938E-01
            YAP   5.550E+00     511.000  8.518549E-02  4.727795E-01
          Water   1.000E+00     511.000  9.600215E-02  9.600215E-02
         Quartz   2.200E+00     511.000  8.657471E-02  1.904644E-01
         Breast   1.020E+00     511.000  9.542752E-02  9.733607E-02
            Air   1.290E-03     511.000  8.631915E-02  1.113517E-04
          Glass   2.500E+00     511.000  8.623470E-02  2.155868E-01
   Scinti-C9H10   1.032E+00     511.000  9.361370E-02  9.660933E-02
       LuYAP-70   7.100E+00     511.000  1.080098E-01  7.668698E-01
       LuYAP-80   7.500E+00     511.000  1.103059E-01  8.272943E-01
        Plastic   1.180E+00     511.000  9.325452E-02  1.100403E-01
       Biomimic   1.050E+00     511.000  9.325452E-02  9.791724E-02
           FITC   1.000E+00     511.000  8.635524E-02  8.635524E-02
            RhB   1.000E+00     511.000  8.635524E-02  8.635524E-02
            CZT   5.680E+00     511.000  9.102671E-02  5.170317E-01
           Lung   2.600E-01     511.000  9.519167E-02  2.474983E-02
   Polyethylene   9.600E-01     511.000  9.858441E-02  9.464103E-02
            PVC   1.650E+00     511.000  8.898002E-02  1.468170E-01
          SS304   7.920E+00     511.000  8.323409E-02  6.592140E-01
           PTFE   2.180E+00     511.000  8.303312E-02  1.810122E-01
           LYSO   7.250E+00     511.000  1.152653E-01  8.356731E-01
           Body   1.000E+00     511.000  9.599387E-02  9.599387E-02
         Muscle   1.050E+00     511.000  9.510763E-02  9.986301E-02
       LungMoby   3.000E-01     511.000  9.490896E-02  2.847269E-02
      SpineBone   1.420E+00     511.000  9.181000E-02  1.303702E-01
        RibBone   1.920E+00     511.000  8.938249E-02  1.716144E-01
        Adipose   9.200E-01     511.000  9.657770E-02  8.885149E-02
      Epidermis   9.200E-01     511.000  9.657770E-02  8.885149E-02
     Hypodermis   9.200E-01     511.000  9.657770E-02  8.885149E-02
          Blood   1.060E+00     511.000  9.510794E-02  1.008144E-01
          Heart   1.050E+00     511.000  9.527636E-02  1.000402E-01
         Kidney   1.050E+00     511.000  9.519137E-02  9.995094E-02
          Liver   1.060E+00     511.000  9.510144E-02  1.008075E-01
          Lymph   1.030E+00     511.000  9.562650E-02  9.849530E-02
       Pancreas   1.040E+00     511.000  9.543973E-02  9.925732E-02
      Intestine   1.030E+00     511.000  9.545443E-02  9.831806E-02
          Skull   1.610E+00     511.000  9.072331E-02  1.460645E-01
      Cartilage   1.100E+00     511.000  9.455120E-02  1.040063E-01
          Brain   1.040E+00     511.000  9.551994E-02  9.934073E-02
         Spleen   1.060E+00     511.000  9.519275E-02  1.009043E-01
         Testis   1.040E+00     511.000  9.545252E-02  9.927061E-02
           PMMA   1.195E+00     511.000  9.324144E-02  1.114235E-01
          Epoxy   1.000E+00     511.000  8.938934E-02  8.938934E-02
        Carbide   1.580E+01     511.000  1.308902E-01  2.068065E+00
